Gene dn_damaging_DD dn_lof_DD mut_damaging mut_lof BF PP
ADAM22 0 0 6.44518e-06 3.24793035450025e-06 0.0310854269295951 0.000939484597557692
ADAM23 0 0 5.53767e-06 2.58205836449295e-06 0.0582089318812497 0.00175778839712124
ADAM28 0 0 1.04146e-10 2.0248585404225e-06 0.231636997562398 0.00695851156207629
ADAM29 0 0 1.04146e-10 1.31959019225351e-06 0.384143927563192 0.0114872815754945
ADAM30 0 0 1.2737e-06 1.33253794244754e-06 0.301927815507583 0.0090509772100928
ADAM32 0 0 1.04146e-10 2.37157540780005e-06 0.180886519790055 0.00544223446903746
ADAM33 0 0 1.04146e-10 2.46118274613979e-06 0.169711917387171 0.00510774752236835
ADAM3A 0 0 1.04146e-10 1.33606643600121e-06 0.379614677900498 0.0113533784724226
ADAM5 0 0 1.04146e-10 7.3563104827814e-07 0.585654883713414 0.017408281525323
ADAM6 0 0 1.04146e-10 4.58183085831982e-08 0.967088683573678 0.0284239311970949
ADAM7 0 0 3.25813e-06 2.02412610987235e-06 0.128986528898336 0.0038868168468645
ADAM8 0 0 1.04146e-10 2.65024538401348e-06 0.148376924313734 0.00446850656788839
ADAM9 0 0 5.94036e-06 2.39809178375764e-06 0.0618983037698905 0.0018689915102325
ADAMDEC1 0 0 1.70766e-06 1.37795190785941e-06 0.270249492460774 0.00810904757987702
ADAMTS1 0 0 1.04146e-10 1.94885626384406e-06 0.244570143231643 0.00734417750534335
ADAMTS10 0 0 6.78328e-06 3.11987698326706e-06 0.0321181698522166 0.000970666549339505
ADAMTS12 0 0 1.30147e-05 3.48183241027949e-06 0.00888845699468865 0.000268813235704258
ADAMTS13 0 0 1.04146e-10 3.43310139447326e-06 0.0853090947973852 0.00257405030113571
ADAMTS14 0 0 1.2091e-05 3.55061671958489e-06 0.00982569701083331 0.000297149723901388
ADAMTS15 0 0 1.04146e-10 1.99523857459881e-06 0.236592749886195 0.00710632732952081
ADAMTS16 0 0 1.1942e-05 3.31852181375776e-06 0.0118522968635372 0.000358416394997314
ADAMTS17 1 0 7.9134e-06 3.70568362278841e-06 0.362019472806501 0.0108328480237761
ADAMTS18 0 0 1.14965e-05 4.43437945546521e-06 0.00582812313541708 0.000176276000880294
ADAMTS19 1 0 5.18424e-06 3.64926335572016e-06 0.616532272750888 0.0183092910514343
ADAMTS2 0 1 1.21562e-05 2.97937545714288e-06 1.21316505230258 0.0354003867982571
ADAMTS20 0 0 1.16776e-05 6.130212531619e-06 0.00175365840681569 5.30472647601132e-05
ADAMTS3 0 0 9.74967e-06 3.2260010039693e-06 0.0181105281064304 0.000547563232422353
ADAMTS4 0 0 5.2371e-06 1.70492149995606e-06 0.11466277184217 0.00345668376304771
ADAMTS5 0 0 7.50061e-06 1.76626192261098e-06 0.0744887592377239 0.00224829994328871
ADAMTS6 0 0 8.80036e-06 3.29580022783831e-06 0.0201865886955911 0.000610293632884563
ADAMTS7 0 0 1.32416e-05 4.07270131687227e-06 0.00566261570203002 0.000171270960498104
ADAMTS8 0 0 8.91828e-06 1.69987861951187e-06 0.061565744944893 0.00185896871249023
ADAMTS9 0 0 1.92315e-05 6.25531289339005e-06 0.000493289716822129 1.49223291170426e-05
ADAMTS9-AS2 0 0 1.04146e-10 2.27755414518583e-07 0.84695199852136 0.0249811732642425
